"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Technical functionalities","","Registration","2","0","1","0","0"
"Technical functionalities","","Navigating","0","1","3","0","0"
"Content functionalities","","Forms","1","0","1","0","0"
"Technical functionalities","","Login","0","0","5","0","0"
"Technical functionalities","","Logout","0","0","1","0","0"
"Technical functionalities","","Navigation","1","0","2","0","0"
"Technical functionalities","","Profile","1","0","2","0","0"
"Content functionalities","","Portfolio","0","0","2","0","0"
