"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Technical functionalities","","Navigating","0","0","4","0","0"
"Content functionalities","","Portfolio","0","0","3","0","0"
"","","","7","0","12","1","0"
"Technical functionalities","","Login","0","0","5","0","0"
"Technical functionalities","","Profile","1","0","2","0","0"
"Content functionalities","","Slider","0","0","2","1","0"
"Technical functionalities","","Logout","0","0","1","0","0"
"Technical functionalities","","Navigation","0","0","1","0","0"
"Content functionalities","","GetData","0","0","3","0","0"
"Technical functionalities","","Registration","2","0","1","0","0"
